EvidenceID,Date,CaseID,ArtifactType,Description,Operation,Classification,Platform,Device,CollectedBy,Status,SchemaVersion
EV-0001,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0002,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0003,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0004,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0005,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0006,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0007,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0008,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0009,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0010,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0011,2026-06-16,FSE-2026-4571,Boot Artifact,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0012,2026-06-23,FSE-2026-7255,Firmware Binary,Embedded device telemetry revealed irregular execution patterns.,,,,,,,2
EV-0013,2026-06-23,FSE-2026-8857,Firmware Image,Observed firmware hash deviations requiring validation.,,,,,,,2
EV-0014,2026-06-24,FSE-2026-1183,Firmware Signature,Embedded device telemetry revealed irregular execution patterns.,,,,,,,2
EV-0015,2026-06-24,FSE-2026-4731,Memory Dump,Embedded device telemetry revealed irregular execution patterns.,,,,,,,2
EV-0016,2026-06-24,FSE-2026-2292,Supply Chain Record,Indicators warrant continued monitoring and forensic review.,,,,,,,2
EV-0017,2026-06-25,FSE-2026-7081,Firmware Signature,Analyst review identified anomalous embedded system behavior.,,,,,,,2
EV-0018,2026-06-25,FSE-2026-2534,Firmware Signature,Analyst review identified anomalous embedded system behavior.,,,,,,,2
EV-0019,2026-06-26,FSE-2026-8702,Supply Chain Record,Observed firmware hash deviations requiring validation.,,,,,,,2
EV-0020,2026-06-27,FSE-2026-1126,Firmware Signature,Evidence remains inconclusive and requires additional collection.,,,,,,,2
EV-0021,2026-06-28,FSE-2026-8204,Boot Artifact,Artifact correlation suggests potential unauthorized modification.,,,,,,,2
EV-0022,2026-06-29,FSE-2026-5429,Supply Chain Record,Artifact correlation suggests potential unauthorized modification.,,,,,,,2
EV-0023,2026-06-30,BID-2026-8035,Firmware Binary,Embedded telemetry indicates persistent unauthorized execution.,,,,,,,2
EV-0024,2026-06-30,BID-2026-4019,Configuration Artifact,Observed firmware integrity deviations requiring immediate validation.,,,,,,,2
EV-0025,2026-06-30,BID-2026-9515,Firmware Signature,Observed firmware integrity deviations requiring immediate validation.,,,,,,,2
EV-0026,2026-06-30,BID-2026-3524,Firmware Image,Embedded telemetry indicates persistent unauthorized execution.,,,,,,,2
EV-0027,2026-06-30,BID-2026-5688,Firmware Signature,Indicators warrant continued monitoring and forensic collection.,,,,,,,2
EV-0028,2026-07-01,BID-2026-5026,Boot Artifact,Indicators warrant continued monitoring and forensic collection.,,,,,,,2
EV-0029,2026-07-01,BID-2026-9130,Embedded Log,Embedded telemetry indicates persistent unauthorized execution.,,,,,,,2
EV-0030,2026-07-01,BID-2026-6897,Embedded Log,Indicators warrant continued monitoring and forensic collection.,,,,,,,2
EV-0031,2026-07-01,BID-2026-3482,Supply Chain Record,Embedded telemetry indicates persistent unauthorized execution.,,,,,,,2
EV-0032,2026-07-01,BID-2026-1353,Memory Dump,Evidence supports possible firmware manipulation.,,,,,,,2
EV-0033,2026-07-02,BID-2026-6465,Supply Chain Record,Embedded telemetry indicates persistent unauthorized execution.,,,,,,,2
EV-0034,2026-07-02,BID-2026-5152,Firmware Signature,Indicators warrant continued monitoring and forensic collection.,,,,,,,2
EV-0035,2026-07-03,BID-2026-5969,Firmware Image,Evidence supports possible firmware manipulation.,,,,,,,2
EV-0036,2026-07-03,BID-2026-7113,Supply Chain Record,Evidence supports possible firmware manipulation.,,,,,,,2
EV-0037,2026-07-03,BID-2026-9063,Firmware Binary,Embedded telemetry indicates persistent unauthorized execution.,,,,,,,2
EV-0038,2026-07-03,BID-2026-1652,Firmware Signature,Behavior consistent with advanced persistence techniques.,,,,,,,2
EV-0039,2026-07-03,BID-2026-6859,Memory Dump,Behavior consistent with advanced persistence techniques.,,,,,,,2
EV-0040,2026-07-03,BID-2026-7583,Embedded Log,Indicators warrant continued monitoring and forensic collection.,,,,,,,2
EV-0041,2026-07-04,BID-2026-3469,Firmware Image,Evidence supports possible firmware manipulation.,,,,,,,2
EV-0042,2026-07-04,BID-2026-6034,Firmware Image,Observed firmware integrity deviations requiring immediate validation.,,,,,,,2
EV-0043,2026-07-05,BID-2026-1736,Supply Chain Record,Evidence supports possible firmware manipulation.,,,,,,,2
EV-0044,2026-07-05,BID-2026-3145,Boot Artifact,Embedded telemetry demonstrates abnormal execution behavior consistent with persistent firmware compromise.,,,,,,,2
EV-0045,2026-07-05,BID-2026-3702,Supply Chain Record,Device artifacts require additional reconstruction to determine operational impact.,,,,,,,2
EV-0046,2026-07-06,BID-2026-6201,Memory Dump,Collected evidence indicates unauthorized modification requiring additional forensic acquisition.,,,,,,,2
EV-0047,2026-07-07,BID-2026-7522,Memory Dump,Device artifacts require additional reconstruction to determine operational impact.,,,,,,,2
EV-0048,2026-07-08,BID-2026-1455,Digital Artifact,Evidence suggests coordinated reconnaissance against protected biomedical infrastructure.,,,,,,,2
EV-0049,2026-07-08,BID-2026-2028,Digital Artifact,Analysts identified suspicious activity affecting protected research resources.,,,,,,,2
EV-0050,2026-07-09,BID-2026-1982,Digital Artifact,Indicators remain consistent with a sophisticated cyber-enabled biosecurity investigation.,,,,,,,2
EV-00051,2026-07-09,BID-2026-6598,Digital Evidence,,Operation Lazarus,Digital Pathogen Intelligence Review,Digital Evidence Repository,Access Control System,Special Response Unit,Collected,2
EV-00052,2026-07-10,BID-2026-6042,Digital Evidence,,Operation Dead Signal,Medical Device Security Assessment,Clinical Trial Environment,Forensic Imaging Station,Analyst Team Alpha,Collected,2
EV-00053,2026-07-11,BID-2026-5446,Digital Evidence,,Operation Lazarus,Biosecurity Infrastructure Investigation,Clinical Trial Environment,Access Control System,Analyst Team Delta,Collected,2
EV-00054,2026-07-11,BID-2026-8339,Digital Evidence,,Operation Cold Harbor,Research Facility Intrusion,Federal Investigation Network,Laboratory Controller,Analyst Team Bravo,Collected,2
EV-00055,2026-07-11,BID-2026-5848,Digital Evidence,,Operation Nightfall,Biomedical Network Exposure,Federal Investigation Network,Forensic Imaging Station,Special Response Unit,Collected,2
EV-00056,2026-07-12,BID-2026-8029,Digital Evidence,,Operation Nightfall,Biocontainment Network Investigation,Medical Research Laboratory,Research Cluster,Analyst Team Bravo,Collected,2
EV-00057,2026-07-12,BID-2026-4594,Digital Evidence,,Operation Outbreak,Medical Device Security Assessment,Digital Evidence Repository,Access Control System,BioDefense Task Force,Collected,2
EV-00058,2026-07-13,BID-2026-7771,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Laboratory Control Network,Specimen Tracking Server,Analyst Team Bravo,Collected,2
EV-00059,2026-07-13,BID-2026-3923,Digital Evidence,,Operation Black Eclipse,Biological Intelligence Collection,Laboratory Control Network,Biomedical Workstation,Analyst Team Alpha,Collected,2
EV-00060,2026-07-13,BID-2026-5173,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Evidence Processing Network,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00061,2026-07-13,BID-2026-7533,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Federal Investigation Network,Biomedical Workstation,Analyst Team Bravo,Collected,2
EV-00062,2026-07-13,BID-2026-2187,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Biomedical Analysis Cluster,Access Control System,Analyst Team Bravo,Collected,2
EV-00063,2026-07-14,BID-2026-3673,Digital Evidence,,Operation Black Eclipse,Digital Pathogen Intelligence Review,Biomedical Analysis Cluster,Access Control System,BioDefense Task Force,Collected,2
EV-00064,2026-07-14,BID-2026-4042,Digital Evidence,,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Clinical Research Environment,Access Control System,National Response Cell,Collected,2
EV-00065,2026-07-14,BID-2026-8491,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Federal Investigation Network,Specimen Tracking Server,National Response Cell,Collected,2
EV-00066,2026-07-15,BID-2026-6092,Digital Evidence,,Operation Black Eclipse,Biological Intelligence Collection,Clinical Research Environment,Digital Evidence Appliance,Analyst Team Alpha,Collected,2
EV-00067,2026-07-15,BID-2026-4519,Digital Evidence,,Operation Black Eclipse,Digital Pathogen Intelligence Review,Clinical Research Environment,Access Control System,Analyst Team Bravo,Collected,2
EV-00068,2026-07-16,BID-2026-7923,Digital Evidence,,Operation Black Eclipse,Evidence Reconstruction Investigation,Biomedical Analysis Cluster,Research Database,Analyst Team Bravo,Collected,2
EV-00069,2026-07-16,BID-2026-9568,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Laboratory Control Network,Digital Evidence Appliance,Analyst Team Bravo,Collected,2
EV-00070,2026-07-16,BID-2026-1951,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Clinical Research Environment,Specimen Tracking Server,Joint Cyber Investigation Unit,Collected,2
EV-00071,2026-07-16,BID-2026-7151,Digital Evidence,,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Clinical Research Environment,Laboratory Controller,Joint Cyber Investigation Unit,Collected,2
EV-00072,2026-07-17,BID-2026-1588,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Evidence Processing Network,Genome Sequencing Server,Analyst Team Bravo,Collected,2
EV-00073,2026-07-17,BID-2026-1443,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Evidence Processing Network,Access Control System,National Response Cell,Collected,2
EV-00074,2026-07-19,BID-2026-1767,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Laboratory Control Network,Evidence Repository,Analyst Team Alpha,Collected,2
EV-00075,2026-07-19,BID-2026-7964,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Biomedical Analysis Cluster,Access Control System,Analyst Team Delta,Collected,2
EV-00076,2026-07-19,BID-2026-9255,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Laboratory Control Network,Access Control System,National Response Cell,Collected,2
EV-00077,2026-07-19,BID-2026-5303,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Clinical Research Environment,Access Control System,Analyst Team Alpha,Collected,2
EV-00078,2026-07-19,BID-2026-2269,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Research Network,Specimen Tracking Server,Analyst Team Delta,Collected,2
EV-00079,2026-07-20,BID-2026-8160,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Biosecurity Operations Center,Digital Evidence Appliance,Analyst Team Delta,Collected,2
EV-00080,2026-07-20,BID-2026-9164,Digital Evidence,,Operation Black Eclipse,Medical Device Security Assessment,Genome Sequencing Environment,Specimen Tracking Server,Analyst Team Delta,Collected,2
EV-00081,2026-07-21,BID-2026-5263,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Evidence Processing Network,Biomedical Workstation,Analyst Team Delta,Collected,2
EV-00082,2026-07-21,BID-2026-4741,Digital Evidence,,Operation Black Eclipse,Biological Research Intelligence Collection,Research Network,Genome Sequencing Server,Joint Cyber Investigation Unit,Collected,2
EV-00083,2026-07-21,BID-2026-6233,Digital Evidence,,Operation Black Eclipse,Laboratory Security Breach,Biomedical Analysis Cluster,Access Control System,Analyst Team Delta,Collected,2
EV-00084,2026-07-22,BID-2026-4333,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Evidence Processing Network,Research Database,Analyst Team Delta,Collected,2
EV-00085,2026-07-22,BID-2026-8048,Authentication Logs,,Operation Black Eclipse,Unauthorized Research System Access,Evidence Processing Network,Digital Evidence Appliance,Analyst Team Delta,Collected,2
EV-00086,2026-07-23,BID-2026-9826,Digital Evidence,,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Clinical Research Environment,Digital Evidence Appliance,National Response Cell,Collected,2
EV-00087,2026-07-23,BID-2026-2763,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Federal Investigation Network,Specimen Tracking Server,National Response Cell,Collected,2
EV-00088,2026-07-23,BID-2026-3767,Digital Evidence,,Operation Black Eclipse,Biomedical Network Exposure,Evidence Processing Network,Biomedical Workstation,National Response Cell,Collected,2
EV-00089,2026-07-23,BID-2026-9421,Digital Evidence,,Operation Black Eclipse,Evidence Reconstruction Investigation,Laboratory Control Network,Specimen Tracking Server,Analyst Team Delta,Collected,2
EV-00090,2026-07-24,BID-2026-4404,Digital Evidence,,Operation Black Eclipse,Research Facility Intrusion,Laboratory Control Network,Genome Sequencing Server,Analyst Team Alpha,Collected,2
EV-00091,2026-07-24,BID-2026-7645,Digital Evidence,,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Evidence Processing Network,Digital Evidence Appliance,BioDefense Task Force,Collected,2
