date,campaign_id,case_id,operation,classification,threat_family,severity,status,campaign_phase,platform,device,vendor,zone,confidence,risk_score,affected_assets,evidence_count,ioc_count,initial_access,lead_analyst,priority
2026-07-16,BDC-2026-001,BID-2026-1951,Operation Black Eclipse,Research Facility Intrusion,Specimen Tracking Manipulation,MODERATE,Field Coordination,Containment,Clinical Research Environment,Specimen Tracking Server,Dell,Secure Laboratory,99,62,24,28,142,Credential Abuse,Joint Cyber Investigation Unit,SEVERE
2026-07-16,BDC-2026-001,BID-2026-7151,Operation Black Eclipse,Biosecurity Infrastructure Investigation,Biological Data Exfiltration,HIGH,Intelligence Analysis,Containment,Clinical Research Environment,Laboratory Controller,VMware,Federal Operations,97,79,38,626,432,Credential Abuse,Joint Cyber Investigation Unit,ELEVATED
2026-07-17,BDC-2026-001,BID-2026-1588,Operation Black Eclipse,Laboratory Security Breach,Insider Laboratory Compromise,LOW,Containment,Containment,Evidence Processing Network,Genome Sequencing Server,Red Hat,Biosecurity Segment,96,33,27,1070,325,Remote Access,Analyst Team Bravo,ELEVATED
2026-07-17,BDC-2026-001,BID-2026-1443,Operation Black Eclipse,Biomedical Network Exposure,Insider Laboratory Compromise,LOW,Monitoring,Containment,Evidence Processing Network,Access Control System,Red Hat,Containment Network,94,42,18,2127,1008,Phishing,National Response Cell,SEVERE
2026-07-19,BDC-2026-001,BID-2026-1767,Operation Black Eclipse,Medical Device Security Assessment,Research Network Persistence,MODERATE,Containment,Containment,Laboratory Control Network,Evidence Repository,Red Hat,Federal Operations,90,60,8,118,1504,Supply Chain,Analyst Team Alpha,CRITICAL
2026-07-19,BDC-2026-001,BID-2026-7964,Operation Black Eclipse,Medical Device Security Assessment,Biomedical Infrastructure Reconnaissance,CRITICAL,Open,Operational Recovery,Biomedical Analysis Cluster,Access Control System,Dell,Biosecurity Segment,93,100,37,3904,2764,Phishing,Analyst Team Delta,CRITICAL
2026-07-19,BDC-2026-001,BID-2026-9255,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Synthetic Genome Theft,MODERATE,Monitoring,Operational Recovery,Laboratory Control Network,Access Control System,Dell,Containment Network,91,58,37,3635,6364,Supply Chain,National Response Cell,SEVERE
2026-07-19,BDC-2026-001,BID-2026-5303,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Synthetic Genome Theft,CRITICAL,Intelligence Analysis,Operational Recovery,Clinical Research Environment,Access Control System,Red Hat,Secure Laboratory,84,90,23,11528,6017,Supply Chain,Analyst Team Alpha,HIGH
2026-07-19,BDC-2026-001,BID-2026-2269,Operation Black Eclipse,Counter-Bioterror Intelligence Case,Digital Pathogen Deployment,MODERATE,Evidence Collection,Operational Recovery,Research Network,Specimen Tracking Server,Red Hat,Evidence Network,95,60,32,15907,9194,Credential Abuse,Analyst Team Delta,CRITICAL
2026-07-20,BDC-2026-001,BID-2026-8160,Operation Black Eclipse,Medical Device Security Assessment,Biological Data Exfiltration,LOW,Monitoring,Operational Recovery,Biosecurity Operations Center,Digital Evidence Appliance,Red Hat,Evidence Network,87,44,16,38680,8618,Credential Abuse,Analyst Team Delta,HIGH
2026-07-20,BDC-2026-001,BID-2026-9164,Operation Black Eclipse,Medical Device Security Assessment,Laboratory Credential Abuse,HIGH,Monitoring,Operational Recovery,Genome Sequencing Environment,Specimen Tracking Server,Fortinet,Research Operations,93,71,26,5869,22474,Compromised VPN,Analyst Team Delta,HIGH
2026-07-21,BDC-2026-001,BID-2026-5263,Operation Black Eclipse,Biological Research Intelligence Collection,Unauthorized Genomic Data Modification,HIGH,Field Coordination,Operational Recovery,Evidence Processing Network,Biomedical Workstation,Red Hat,Research Operations,97,74,25,189,46,Supply Chain Compromise,Analyst Team Delta,HIGH
2026-07-21,BDC-2026-001,BID-2026-4741,Operation Black Eclipse,Biological Research Intelligence Collection,Biological Data Exfiltration,MODERATE,Intelligence Analysis,Operational Recovery,Research Network,Genome Sequencing Server,VMware,Secure Laboratory,93,56,6,89,21,Unauthorized Remote Access,Joint Cyber Investigation Unit,ELEVATED
2026-07-21,BDC-2026-001,BID-2026-6233,Operation Black Eclipse,Laboratory Security Breach,Biocontainment System Tampering,MODERATE,Intelligence Analysis,Operational Recovery,Biomedical Analysis Cluster,Access Control System,Dell,Secure Laboratory,83,69,9,68,10,Supply Chain Compromise,Analyst Team Delta,ELEVATED
2026-07-22,BDC-2026-001,BID-2026-4333,Operation Black Eclipse,Biomedical Network Exposure,Insider Laboratory Compromise,HIGH,Field Coordination,Operational Recovery,Evidence Processing Network,Research Database,Microsoft,Federal Operations,86,79,26,104,39,Credential Abuse,Analyst Team Delta,HIGH
2026-07-22,BDC-2026-001,BID-2026-8048,Operation Black Eclipse,Unauthorized Research System Access,Research Network Persistence,MODERATE,Monitoring,Operational Recovery,Evidence Processing Network,Digital Evidence Appliance,Red Hat,Research Operations,87,64,12,68,21,Compromised VPN Account,Analyst Team Delta,ELEVATED
2026-07-23,BDC-2026-001,BID-2026-9826,Operation Black Eclipse,Cyber-Biothreat Intelligence Review,Biomedical Infrastructure Reconnaissance,LOW,Field Coordination,Operational Recovery,Clinical Research Environment,Digital Evidence Appliance,Fortinet,Secure Laboratory,81,40,3,32,5,Compromised VPN Account,National Response Cell,ROUTINE
